AUS,2011,OECD,52.63,0.04,55.93,0.03,59.23,0.04,58.17,0.03,60.41,0.05,61.83,0.05
AUT,2012,OECD,51.40,0.06,54.03,0.04,57.83,0.08,57.58,0.04,59.29,0.05,60.63,0.14
BEL,2010,OECD,48.59,0.03,53.05,0.06,59.07,0.08,53.32,0.03,57.49,0.06,60.98,0.08
BEL,2011,OECD,48.53,0.03,53.18,0.06,59.13,0.07,53.29,0.03,57.64,0.06,61.09,0.08
BEL,2012,OECD,48.49,0.03,53.27,0.06,59.17,0.08,53.27,0.03,57.75,0.06,61.17,0.09
CAN,2006,OECD,54.13,0.03,55.59,0.06,58.26,0.05,58.31,0.03,59.74,0.10,61.18,0.05
CAN,2007,OECD,54.16,0.03,55.55,0.05,58.27,0.04,58.29,0.02,59.69,0.07,61.17,0.04
CAN,2008,OECD,54.22,0.02,55.53,0.04,58.31,0.04,58.28,0.02,59.64,0.07,61.17,0.04
CAN,2009,OECD,54.31,0.02,55.55,0.04,58.37,0.04,58.30,0.02,59.61,0.07,61.18,0.04
CAN,2010,OECD,54.40,0.03,55.60,0.05,58.44,0.04,58.32,0.02,59.61,0.07,61.19,0.04
CAN,2011,OECD,54.45,0.03,55.63,0.06,58.47,0.04,58.34,0.03,59.61,0.07,61.20,0.04
CHL,2004,OECD,46.80,0.04,50.83,0.06,57.72,0.13,53.20,0.03,58.09,0.07,60.77,0.16
CZE,2010,OECD,41.87,0.08,50.29,0.03,58.82,0.15,54.37,0.05,55.45,0.04,63.75,0.44
CZE,2011,OECD,42.18,0.08,50.12,0.03,57.65,0.11,54.41,0.05,55.30,0.03,62.31,0.23
CZE,2012,OECD,42.63,0.08,49.93,0.03,56.16,0.11,54.52,0.05,55.14,0.03,60.51,0.21
CZE,2013,OECD,43.07,0.08,49.77,0.03,54.87,0.07,54.65,0.05,55.02,0.03,58.96,0.10
CZE,2014,OECD,43.32,0.08,49.68,0.03,54.16,0.06,54.72,0.05,54.95,0.03,58.11,0.10
FIN,2006,OECD,48.62,0.06,52.25,0.10,56.11,0.10,56.16,0.06,59.03,0.09,60.75,0.12
FIN,2007,OECD,48.69,0.07,52.31,0.09,56.21,0.10,56.17,0.06,59.04,0.09,60.79,0.12
FIN,2008,OECD,48.80,0.07,52.38,0.09,56.34,0.10,56.18,0.06,59.06,0.08,60.83,0.12
FIN,2009,OECD,48.90,0.07,52.45,0.09,56.44,0.10,56.19,0.07,59.07,0.08,60.87,0.11
FIN,2010,OECD,48.96,0.07,52.49,0.09,56.50,0.10,56.19,0.07,59.07,0.08,60.89,0.11
FIN,2007,Eurostat,48.80,0.07,52.02,0.09,56.16,0.10,56.25,0.06,58.82,0.09,60.56,0.12
FIN,2008,Eurostat,48.94,0.07,52.12,0.09,56.25,0.10,56.26,0.06,58.87,0.08,60.60,0.12
FIN,2009,Eurostat,49.13,0.07,52.26,0.09,56.37,0.09,56.26,0.07,58.94,0.08,60.66,0.11
FIN,2010,Eurostat,49.35,0.07,52.43,0.09,56.51,0.09,56.27,0.07,59.02,0.08,60.73,0.11
FIN,2011,Eurostat,49.53,0.07,52.56,0.08,56.62,0.09,56.27,0.07,59.09,0.08,60.78,0.10
FIN,2012,Eurostat,49.63,0.07,52.64,0.08,56.68,0.09,56.27,0.07,59.12,0.08,60.81,0.10
